wf,method,time
dart,get_condor_q_time,0.000002
dart,get_descendant_workflow_ids,0.012340
dart,get_failed_job_instances,0.000002
dart,get_invocation_by_time,0.012776
dart,get_invocation_by_time_per_host,0.014191
dart,get_invocation_info,0.000005
dart,get_job_instance_info,0.000002
dart,get_job_instance_sub_wf_map,0.000002
dart,get_job_kickstart,0.000001
dart,get_job_name,0.000002
dart,get_job_runtime,0.000002
dart,get_job_seqexec,0.000002
dart,get_job_site,0.000002
dart,get_job_states,0.000003
dart,get_job_statistics,0.000003
dart,get_jobs_run_by_time,0.014964
dart,get_jobs_run_by_time_per_host,0.014799
dart,get_post_time,0.000003
dart,get_resource_delay,0.000002
dart,get_schema_version,0.025012
dart,get_sub_workflow_ids,0.012846
dart,get_submit_side_job_wall_time,0.013902
dart,get_task_failure_report,0.019954
dart,get_task_success_report,0.017874
dart,get_total_failed_jobs_status,0.016179
dart,get_total_failed_tasks_status,0.019325
dart,get_total_jobs_retries,0.013840
dart,get_total_jobs_status,0.013388
dart,get_total_succeeded_jobs_status,0.019944
dart,get_total_succeeded_tasks_status,0.016518
dart,get_total_tasks_retries,0.015851
dart,get_total_tasks_status,0.014545
dart,get_transformation_statistics,0.016109
dart,get_workflow_cum_job_wall_time,0.013574
dart,get_workflow_details,0.015326
dart,get_workflow_retries,0.013360
dart,get_workflow_states,0.013405
scec,get_condor_q_time,0.000004
scec,get_descendant_workflow_ids,0.001577
scec,get_failed_job_instances,0.000006
scec,get_invocation_by_time,0.065924
scec,get_invocation_by_time_per_host,0.090985
scec,get_invocation_info,0.000006
scec,get_job_instance_info,0.000004
scec,get_job_instance_sub_wf_map,0.000003
scec,get_job_kickstart,0.000004
scec,get_job_name,0.000002
scec,get_job_runtime,0.000003
scec,get_job_seqexec,0.000002
scec,get_job_site,0.000003
scec,get_job_states,0.000003
scec,get_job_statistics,0.000004
scec,get_jobs_run_by_time,0.025775
scec,get_jobs_run_by_time_per_host,0.024340
scec,get_post_time,0.000006
scec,get_resource_delay,0.000004
scec,get_schema_version,0.001279
scec,get_sub_workflow_ids,0.001694
scec,get_submit_side_job_wall_time,0.035797
scec,get_task_failure_report,0.083941
scec,get_task_success_report,0.112143
scec,get_total_failed_jobs_status,0.019847
scec,get_total_failed_tasks_status,0.084227
scec,get_total_jobs_retries,0.062298
scec,get_total_jobs_status,0.009746
scec,get_total_succeeded_jobs_status,0.018629
scec,get_total_succeeded_tasks_status,0.115468
scec,get_total_tasks_retries,0.184700
scec,get_total_tasks_status,1.315845
scec,get_transformation_statistics,0.104930
scec,get_workflow_cum_job_wall_time,0.037982
scec,get_workflow_details,0.006236
scec,get_workflow_retries,0.001953
scec,get_workflow_states,0.001832
